Date,DayofYear,GreenRiver_per,LocNis_per,Chum_per
1-Jan,1,0,0,0
2-Jan,2,0,0,0
3-Jan,3,0,0,0
4-Jan,4,0,0,0
5-Jan,5,0,0,0
6-Jan,6,0,0,0
7-Jan,7,0,0,0
8-Jan,8,0,0,0
9-Jan,9,0,0,0
10-Jan,10,0,0,0
11-Jan,11,0,0,0
12-Jan,12,0,0,0
13-Jan,13,0,0,0
14-Jan,14,0,0,0
15-Jan,15,0,0,0
16-Jan,16,0,0,0
17-Jan,17,0,0,0
18-Jan,18,0,0,0
19-Jan,19,0,0,0
20-Jan,20,0,0,0
21-Jan,21,0,0,0
22-Jan,22,0,0,0
23-Jan,23,0,0,0
24-Jan,24,0,0,0
25-Jan,25,0,0,0
26-Jan,26,0,0,0
27-Jan,27,0,0,0
28-Jan,28,0,0,0
29-Jan,29,0,0,0
30-Jan,30,0,0,0
31-Jan,31,0,0,0
1-Feb,32,0,0,0
2-Feb,33,0,0,0
3-Feb,34,0,0,0
4-Feb,35,0,0,0
5-Feb,36,0,0,0
6-Feb,37,0,0,0
7-Feb,38,0,0,0
8-Feb,39,0,0,0
9-Feb,40,0,0,0
10-Feb,41,0,0,0
11-Feb,42,0,0,0
12-Feb,43,0,0,0
13-Feb,44,0,0,0
14-Feb,45,0,0,0
15-Feb,46,0,0,0
16-Feb,47,0,0,0
17-Feb,48,0,0,0
18-Feb,49,0,0,0
19-Feb,50,0,0,0
20-Feb,51,0,0,0
21-Feb,52,0,0,0
22-Feb,53,0,0,0
23-Feb,54,0,0,0
24-Feb,55,0,0,0
25-Feb,56,0,0,0
26-Feb,57,0,0,0
27-Feb,58,0,0,0
28-Feb,59,0,0,0
29-Feb,60,0,0,0
1-Mar,61,0,0,0
2-Mar,62,0,0,0
3-Mar,63,0,0,0
4-Mar,64,0,0,0
5-Mar,65,0,0,0
6-Mar,66,0,0,0
7-Mar,67,0,0,0
8-Mar,68,0,0,0
9-Mar,69,0,0,0
10-Mar,70,0,0,0
11-Mar,71,0,0,0
12-Mar,72,0,0,0
13-Mar,73,0,0,0
14-Mar,74,0,0,0
15-Mar,75,0,0,0
16-Mar,76,0,0,0
17-Mar,77,0,0,0
18-Mar,78,0,0,0
19-Mar,79,0,0,0
20-Mar,80,0,0,0
21-Mar,81,0,0,0
22-Mar,82,0,0,0
23-Mar,83,0,0,0
24-Mar,84,0,0,0
25-Mar,85,0,0,0
26-Mar,86,0,0,0
27-Mar,87,0,0,0
28-Mar,88,0,0,0
29-Mar,89,0,0,0
30-Mar,90,0,0,0
31-Mar,91,0,0,0
1-Apr,92,0,0,0
2-Apr,93,0,0,0
3-Apr,94,0,0,0
4-Apr,95,0,0,0
5-Apr,96,0,0,0
6-Apr,97,0,0,0
7-Apr,98,0,0,0
8-Apr,99,0,0,0
9-Apr,100,0,0,0
10-Apr,101,0,0,0
11-Apr,102,0,0,0
12-Apr,103,0,0,0
13-Apr,104,0,0,0
14-Apr,105,0,0,0
15-Apr,106,0,0,0
16-Apr,107,0,0,0
17-Apr,108,0,0,0
18-Apr,109,0,0,0
19-Apr,110,0,0,0
20-Apr,111,0,0,0
21-Apr,112,0,0,0
22-Apr,113,0,0,0
23-Apr,114,0,0,0
24-Apr,115,0,0,0
25-Apr,116,0,0,0
26-Apr,117,0,0,0
27-Apr,118,0,0,0
28-Apr,119,0,0,0
29-Apr,120,0,0,0
30-Apr,121,0,0,0
1-May,122,0,0,0
2-May,123,0,0,0
3-May,124,0,0,0
4-May,125,0,0,0
5-May,126,0,0,0
6-May,127,0,0,0
7-May,128,0,0,0
8-May,129,0,0,0
9-May,130,0,0,0
10-May,131,0,0,0
11-May,132,0,0,0
12-May,133,0,0,0
13-May,134,0,0,0
14-May,135,0,0,0
15-May,136,0,0,0
16-May,137,0,0,0
17-May,138,0,0,0
18-May,139,0,0,0
19-May,140,0,0,0
20-May,141,0,0,0
21-May,142,0,0,0
22-May,143,0,0,0
23-May,144,0,0,0
24-May,145,0,0,0
25-May,146,0,0,0
26-May,147,0,0,0
27-May,148,0,0,0
28-May,149,0,0,0
29-May,150,0,0,0
30-May,151,0,0,0
31-May,152,0,0,0
1-Jun,153,0,0,0
2-Jun,154,0,0,0
3-Jun,155,0,0,0
4-Jun,156,0,0,0
5-Jun,157,0,0,0
6-Jun,158,0,0,0
7-Jun,159,0,0,0
8-Jun,160,0,0,0
9-Jun,161,0,0,0
10-Jun,162,0,0,0
11-Jun,163,0,0,0
12-Jun,164,0,0,0
13-Jun,165,0,0,0
14-Jun,166,0,0,0
15-Jun,167,0,0,0
16-Jun,168,0,0,0
17-Jun,169,0,0,0
18-Jun,170,0,0,0
19-Jun,171,0,0,0
20-Jun,172,0,0,0
21-Jun,173,0,0,0
22-Jun,174,0,0,0
23-Jun,175,0,0,0
24-Jun,176,0,0,0
25-Jun,177,0,0,0
26-Jun,178,0,0,0
27-Jun,179,0,0,0
28-Jun,180,0,0,0
29-Jun,181,0,0,0
30-Jun,182,0,0,0
1-Jul,183,0,0,0
2-Jul,184,0,0,0
3-Jul,185,0,0,0
4-Jul,186,0,0,0
5-Jul,187,0,0,0
6-Jul,188,0,0,0
7-Jul,189,0,0,0
8-Jul,190,0,0,0
9-Jul,191,0,0,0
10-Jul,192,0,0,0
11-Jul,193,0,0,0
12-Jul,194,0,0,0
13-Jul,195,0.0016,0,0
14-Jul,196,0.0016,0,0
15-Jul,197,0.0016,0,0
16-Jul,198,0.0016,0,0
17-Jul,199,0.0016,0,0
18-Jul,200,0.0016,0,0
19-Jul,201,0.0016,0,0
20-Jul,202,0.0019,0,0
21-Jul,203,0.0019,0,0
22-Jul,204,0.0019,0,0
23-Jul,205,0.0019,0,0
24-Jul,206,0.0019,0,0
25-Jul,207,0.0019,0,0
26-Jul,208,0.0019,0,0
27-Jul,209,0.0115,0,0
28-Jul,210,0.0115,0,0
29-Jul,211,0.0115,0,0
30-Jul,212,0.0115,0,0
31-Jul,213,0.0115,0,0
1-Aug,214,0.0115,0,0
2-Aug,215,0.0115,0,0
3-Aug,216,0.0242,0,0
4-Aug,217,0.0242,0,0
5-Aug,218,0.0242,0,0
6-Aug,219,0.0242,0.04,0
7-Aug,220,0.0242,0.04,0
8-Aug,221,0.0242,0.04,0
9-Aug,222,0.0242,0.04,0
10-Aug,223,0.0731,0.04,0
11-Aug,224,0.0731,0.04,0
12-Aug,225,0.0731,0.04,0
13-Aug,226,0.0731,0,0
14-Aug,227,0.0731,0,0
15-Aug,228,0.0731,0,0
16-Aug,229,0.0731,0,0
17-Aug,230,0.1243,0,0
18-Aug,231,0.1243,0,0
19-Aug,232,0.1243,0,0
20-Aug,233,0.1243,0.04,0
21-Aug,234,0.1243,0.04,0
22-Aug,235,0.1243,0.04,0
23-Aug,236,0.1243,0.04,0
24-Aug,237,0.1565,0.04,0
25-Aug,238,0.1565,0.04,0
26-Aug,239,0.1565,0.04,0
27-Aug,240,0.1565,0.05,0
28-Aug,241,0.1565,0.05,0
29-Aug,242,0.1565,0.05,0
30-Aug,243,0.1565,0.05,0
31-Aug,244,0.1999,0.05,0
1-Sep,245,0.1999,0.05,0
2-Sep,246,0.1999,0.05,0
3-Sep,247,0.1999,0.04,0
4-Sep,248,0.1999,0.04,0
5-Sep,249,0.1999,0.04,0
6-Sep,250,0.1999,0.04,0
7-Sep,251,0.1639,0.04,0
8-Sep,252,0.1639,0.04,0
9-Sep,253,0.1639,0.04,0
10-Sep,254,0.1639,0.09,0
11-Sep,255,0.1639,0.09,0
12-Sep,256,0.1639,0.09,0
13-Sep,257,0.1639,0.09,0
14-Sep,258,0.1079,0.09,0
15-Sep,259,0.1079,0.09,0
16-Sep,260,0.1079,0.09,0
17-Sep,261,0.1079,0.14,0
18-Sep,262,0.1079,0.14,0
19-Sep,263,0.1079,0.14,0
20-Sep,264,0.1079,0.14,0
21-Sep,265,0.0656,0.14,0
22-Sep,266,0.0656,0.14,0
23-Sep,267,0.0656,0.14,0
24-Sep,268,0.0656,0.06,0
25-Sep,269,0.0656,0.06,0
26-Sep,270,0.0656,0.06,0
27-Sep,271,0.0656,0.06,0
28-Sep,272,0.0505,0.06,0
29-Sep,273,0.0505,0.06,0
30-Sep,274,0.0505,0.06,0
1-Oct,275,0.0505,0.08,0
2-Oct,276,0.0505,0.08,0
3-Oct,277,0.0505,0.08,0
4-Oct,278,0.0505,0.08,0
5-Oct,279,0.0167,0.08,0
6-Oct,280,0.0167,0.08,0
7-Oct,281,0.0167,0.08,0
8-Oct,282,0.0167,0.05,0
9-Oct,283,0.0167,0.05,0
10-Oct,284,0.0167,0.05,0
11-Oct,285,0.0167,0.05,0
12-Oct,286,0.0021,0.05,0
13-Oct,287,0.0021,0.05,0
14-Oct,288,0.0021,0.05,0
15-Oct,289,0.0021,0.09,0
16-Oct,290,0.0021,0.09,0
17-Oct,291,0.0021,0.09,0
18-Oct,292,0.0021,0.09,0
19-Oct,293,0.0004,0.09,0
20-Oct,294,0.0004,0.09,0
21-Oct,295,0.0004,0.09,0
22-Oct,296,0.0004,0.08,0
23-Oct,297,0.0004,0.08,0
24-Oct,298,0.0004,0.08,0
25-Oct,299,0.0004,0.08,0
26-Oct,300,0.0002,0.08,0
27-Oct,301,0.0002,0.08,0
28-Oct,302,0.0002,0.08,0
29-Oct,303,0.0002,0.14,0
30-Oct,304,0.0002,0.14,0
31-Oct,305,0.0002,0.14,0
1-Nov,306,0.0002,0.14,0.01
2-Nov,307,0,0.14,0.01
3-Nov,308,0,0.14,0.01
4-Nov,309,0,0.14,0.01
5-Nov,310,0,0.09,0.01
6-Nov,311,0,0.09,0.01
7-Nov,312,0,0.09,0.01
8-Nov,313,0,0.09,0.01
9-Nov,314,0,0.09,0.01
10-Nov,315,0,0.09,0.01
11-Nov,316,0,0.09,0.01
12-Nov,317,0,0.01,0.01
13-Nov,318,0,0.01,0.01
14-Nov,319,0,0.01,0.01
15-Nov,320,0,0.01,0.01
16-Nov,321,0,0.01,0.02
17-Nov,322,0,0.01,0.02
18-Nov,323,0,0.01,0.02
19-Nov,324,0,0,0.02
20-Nov,325,0,0,0.02
21-Nov,326,0,0,0.02
22-Nov,327,0,0,0.02
23-Nov,328,0,0,0.04
24-Nov,329,0,0,0.04
25-Nov,330,0,0,0.04
26-Nov,331,0,0,0.04
27-Nov,332,0,0,0.04
28-Nov,333,0,0,0.04
29-Nov,334,0,0,0.04
30-Nov,335,0,0,0.1
1-Dec,336,0,0,0.1
2-Dec,337,0,0,0.1
3-Dec,338,0,0,0.1
4-Dec,339,0,0,0.1
5-Dec,340,0,0,0.1
6-Dec,341,0,0,0.1
7-Dec,342,0,0,0.17
8-Dec,343,0,0,0.17
9-Dec,344,0,0,0.17
10-Dec,345,0,0,0.17
11-Dec,346,0,0,0.17
12-Dec,347,0,0,0.17
13-Dec,348,0,0,0.17
14-Dec,349,0,0,0.21
15-Dec,350,0,0,0.21
16-Dec,351,0,0,0.21
17-Dec,352,0,0,0.21
18-Dec,353,0,0,0.21
19-Dec,354,0,0,0.21
20-Dec,355,0,0,0.21
21-Dec,356,0,0,0.19
22-Dec,357,0,0,0.19
23-Dec,358,0,0,0.19
24-Dec,359,0,0,0.19
25-Dec,360,0,0,0.19
26-Dec,361,0,0,0.19
27-Dec,362,0,0,0.19
28-Dec,363,0,0,0.15
29-Dec,364,0,0,0.15
30-Dec,365,0,0,0.15
31-Dec,366,0,0,0.15
1-Jan,367,,,0.15
2-Jan,368,,,0.15
3-Jan,369,,,0.15
4-Jan,370,,,0.09
5-Jan,371,,,0.09
6-Jan,372,,,0.09
7-Jan,373,,,0.09
8-Jan,374,,,0.09
9-Jan,375,,,0.09
10-Jan,376,,,0.09
11-Jan,377,,,0.02
12-Jan,378,,,0.02
13-Jan,379,,,0.02
14-Jan,380,,,0.02
15-Jan,381,,,0.02
16-Jan,382,,,0.02
17-Jan,383,,,0.02
18-Jan,384,,,0.01
19-Jan,385,,,0.01
20-Jan,386,,,0.01
21-Jan,387,,,0.01
22-Jan,388,,,0.01
23-Jan,389,,,0.01
24-Jan,390,,,0.01
25-Jan,391,,,0.01
26-Jan,392,,,0.01
27-Jan,393,,,0.01
28-Jan,394,,,0.01
29-Jan,395,,,0.01
30-Jan,396,,,0.01
31-Jan,397,,,0.01
1-Feb,398,,,0
2-Feb,399,,,0
3-Feb,400,,,0
4-Feb,401,,,0
5-Feb,402,,,0
6-Feb,403,,,0
7-Feb,404,,,0
8-Feb,405,,,0
9-Feb,406,,,0
10-Feb,407,,,0
11-Feb,408,,,0
12-Feb,409,,,0
13-Feb,410,,,0
14-Feb,411,,,0
15-Feb,412,,,0
16-Feb,413,,,0
17-Feb,414,,,0
18-Feb,415,,,0
19-Feb,416,,,0
20-Feb,417,,,0
21-Feb,418,,,0
