Date,Day,Daily Count,type
1/1/22,1,0,fake
1/2/22,2,0,fake
1/3/22,3,0,fake
1/4/22,4,0,fake
1/5/22,5,0,fake
1/6/22,6,0,fake
1/7/22,7,0,fake
1/8/22,8,0,fake
1/9/22,9,0,fake
1/10/22,10,0,fake
1/11/22,11,0,fake
1/12/22,12,0,fake
1/13/22,13,0,fake
1/14/22,14,0,fake
1/15/22,15,0,fake
1/16/22,16,0,fake
1/17/22,17,0,fake
1/18/22,18,0,fake
1/19/22,19,0,fake
1/20/22,20,0,fake
1/21/22,21,0,fake
1/22/22,22,0,fake
1/23/22,23,0,fake
1/24/22,24,0,fake
1/25/22,25,0,fake
1/26/22,26,0,fake
1/27/22,27,0,fake
1/28/22,28,0,fake
1/29/22,29,0,fake
1/30/22,30,0,fake
1/31/22,31,0,fake
2/1/22,32,0,fake
2/2/22,33,0,fake
2/3/22,34,0,fake
2/4/22,35,0,fake
2/5/22,36,0,fake
2/6/22,37,0,fake
2/7/22,38,0,fake
2/8/22,39,0,fake
2/9/22,40,0,fake
2/10/22,41,0,fake
2/11/22,42,0,fake
2/12/22,43,0,fake
2/13/22,44,0,fake
2/14/22,45,0,fake
2/15/22,46,0,fake
2/16/22,47,0,fake
2/17/22,48,0,fake
2/18/22,49,0,fake
2/19/22,50,0,fake
2/20/22,51,0,fake
2/21/22,52,0,fake
2/22/22,53,0,fake
2/23/22,54,0,fake
2/24/22,55,0,fake
2/25/22,56,0,fake
2/26/22,57,0,fake
2/27/22,58,0,fake
2/28/22,59,0,fake
3/1/22,60,0,fake
3/2/22,61,0,fake
3/3/22,62,0,fake
3/4/22,63,0,fake
3/5/22,64,0,fake
3/6/22,65,0,fake
3/7/22,66,0,fake
3/8/22,67,0,fake
3/9/22,68,0,fake
3/10/22,69,0,fake
3/11/22,70,0,fake
3/12/22,71,0,fake
3/13/22,72,0,fake
3/14/22,73,0,fake
3/15/22,74,0,fake
3/16/22,75,0,fake
3/17/22,76,0,fake
3/18/22,77,0,fake
3/19/22,78,0,fake
3/20/22,79,0,fake
3/21/22,80,0,fake
3/22/22,81,0,fake
3/23/22,82,0,fake
3/24/22,83,0,fake
3/25/22,84,0,fake
3/26/22,85,0,fake
3/27/22,86,0,fake
3/28/22,87,0,fake
3/29/22,88,0,fake
3/30/22,89,0,fake
3/31/22,90,0,fake
4/1/22,91,0,fake
4/2/22,92,0,fake
4/3/22,93,0,fake
4/4/22,94,0,fake
4/5/22,95,0,fake
4/6/22,96,0,fake
4/7/22,97,0,fake
4/8/22,98,0,fake
4/9/22,99,0,fake
4/10/22,100,0,fake
4/11/22,101,0,fake
4/12/22,102,0,fake
4/13/22,103,0,fake
4/14/22,104,0,fake
4/15/22,105,0,fake
4/16/22,106,0,fake
4/17/22,107,0,fake
4/18/22,108,0,fake
4/19/22,109,0,fake
4/20/22,110,0,fake
4/21/22,111,0,fake
4/22/22,112,0,fake
4/23/22,113,0,fake
4/24/22,114,0,fake
4/25/22,115,0,fake
4/26/22,116,0,fake
4/27/22,117,0,fake
4/28/22,118,0,fake
4/29/22,119,0,fake
4/30/22,120,0,fake
5/1/22,121,0,fake
5/2/22,122,0,fake
5/3/22,123,0,fake
5/4/22,124,0,fake
5/5/22,125,0,fake
5/6/22,126,0,fake
5/7/22,127,0,fake
5/8/22,128,0,fake
5/9/22,129,0,fake
5/10/22,130,0,fake
5/11/22,131,0,fake
5/12/22,132,0,fake
5/13/22,133,0,fake
5/14/22,134,0,fake
5/15/22,135,0,fake
5/16/22,136,0,fake
5/17/22,137,0,fake
5/18/22,138,0,fake
5/19/22,139,0,fake
5/20/22,140,0,fake
5/21/22,141,0,fake
5/22/22,142,0,fake
5/23/22,143,0,fake
5/24/22,144,0,fake
5/25/22,145,0,fake
5/26/22,146,0,fake
5/27/22,147,0,fake
5/28/22,148,0,fake
5/29/22,149,0,fake
5/30/22,150,0,fake
5/31/22,151,0,fake
6/1/22,152,0,fake
6/2/22,153,0,fake
6/3/22,154,0,fake
6/4/22,155,0,fake
6/5/22,156,0,fake
6/6/22,157,0,fake
6/7/22,158,0,fake
6/8/22,159,0,fake
6/9/22,160,0,fake
6/10/22,161,0,fake
6/11/22,162,0,fake
6/12/22,163,2,real
6/13/22,164,7,real
6/14/22,165,0,real
6/15/22,166,24,real
6/16/22,167,9,real
6/17/22,168,7,real
6/18/22,169,0,real
6/19/22,170,16,real
6/20/22,171,48,real
6/21/22,172,53,real
6/22/22,173,59,real
6/23/22,174,52,real
6/24/22,175,133,real
6/25/22,176,333,real
6/26/22,177,106,real
6/27/22,178,1153,real
6/28/22,179,482,real
6/29/22,180,325,real
6/30/22,181,723,real
7/1/22,182,458,real
7/2/22,183,1109,real
7/3/22,184,871,real
7/4/22,185,995,real
7/5/22,186,1388,real
7/6/22,187,1347,real
7/7/22,188,1063,real
7/8/22,189,1280,real
7/9/22,190,1881,real
7/10/22,191,1355,real
7/11/22,192,1607,real
7/12/22,193,1777,real
7/13/22,194,1216,real
7/14/22,195,1057,real
7/15/22,196,843,real
7/16/22,197,1675,real
7/17/22,198,1304,real
7/18/22,199,780,real
7/19/22,200,1855,real
7/20/22,201,1443,real
7/21/22,202,1284,real
7/22/22,203,508,real
7/23/22,204,1074,real
7/24/22,205,1543,real
7/25/22,206,945,real
7/26/22,207,755,real
7/27/22,208,765,real
7/28/22,209,544,real
7/29/22,210,905,real
7/30/22,211,804,real
7/31/22,212,1018,real
8/1/22,213,269,real
8/2/22,214,535,real
8/3/22,215,374,real
8/4/22,216,268,real
8/5/22,217,337,real
8/6/22,218,457,real
8/7/22,219,360,real
8/8/22,220,137,real
8/9/22,221,131,real
8/10/22,222,200,real
8/11/22,223,119,real
8/12/22,224,96,real
8/13/22,225,109,real
8/14/22,226,218,real
8/15/22,227,97,real
8/16/22,228,85,real
8/17/22,229,46,real
8/18/22,230,65,real
8/19/22,231,42,real
8/20/22,232,52,real
8/21/22,233,52,real
8/22/22,234,31,real
8/23/22,235,13,real
8/24/22,236,13,real
8/25/22,237,7,real
8/26/22,238,65,real
8/27/22,239,26,real
8/28/22,240,0,real
8/29/22,241,33,real
8/30/22,242,26,real
8/31/22,243,0,real
9/1/22,244,7,real
9/2/22,245,33,real
9/3/22,246,0,real
9/4/22,247,0,real
9/5/22,248,0,real
9/6/22,249,0,real
9/7/22,250,0,real
9/8/22,251,0,real
9/9/22,252,0,real
9/10/22,253,0,fake
9/11/22,254,0,fake
9/12/22,255,0,fake
9/13/22,256,0,fake
9/14/22,257,0,fake
9/15/22,258,0,fake
9/16/22,259,0,fake
9/17/22,260,0,fake
9/18/22,261,0,fake
9/19/22,262,0,fake
9/20/22,263,0,fake
9/21/22,264,0,fake
9/22/22,265,0,fake
9/23/22,266,0,fake
9/24/22,267,0,fake
9/25/22,268,0,fake
9/26/22,269,0,fake
9/27/22,270,0,fake
9/28/22,271,0,fake
9/29/22,272,0,fake
9/30/22,273,0,fake
10/1/22,274,0,fake
10/2/22,275,0,fake
10/3/22,276,0,fake
10/4/22,277,0,fake
10/5/22,278,0,fake
10/6/22,279,0,fake
10/7/22,280,0,fake
10/8/22,281,0,fake
10/9/22,282,0,fake
10/10/22,283,0,fake
10/11/22,284,0,fake
10/12/22,285,0,fake
10/13/22,286,0,fake
10/14/22,287,0,fake
10/15/22,288,0,fake
10/16/22,289,0,fake
10/17/22,290,0,fake
10/18/22,291,0,fake
10/19/22,292,0,fake
10/20/22,293,0,fake
10/21/22,294,0,fake
10/22/22,295,0,fake
10/23/22,296,0,fake
10/24/22,297,0,fake
10/25/22,298,0,fake
10/26/22,299,0,fake
10/27/22,300,0,fake
10/28/22,301,0,fake
10/29/22,302,0,fake
10/30/22,303,0,fake
10/31/22,304,0,fake
11/1/22,305,0,fake
11/2/22,306,0,fake
11/3/22,307,0,fake
11/4/22,308,0,fake
11/5/22,309,0,fake
11/6/22,310,0,fake
11/7/22,311,0,fake
11/8/22,312,0,fake
11/9/22,313,0,fake
11/10/22,314,0,fake
11/11/22,315,0,fake
11/12/22,316,0,fake
11/13/22,317,0,fake
11/14/22,318,0,fake
11/15/22,319,0,fake
11/16/22,320,0,fake
11/17/22,321,0,fake
11/18/22,322,0,fake
11/19/22,323,0,fake
11/20/22,324,0,fake
11/21/22,325,0,fake
11/22/22,326,0,fake
11/23/22,327,0,fake
11/24/22,328,0,fake
11/25/22,329,0,fake
11/26/22,330,0,fake
11/27/22,331,0,fake
11/28/22,332,0,fake
11/29/22,333,0,fake
11/30/22,334,0,fake
12/1/22,335,0,fake
12/2/22,336,0,fake
12/3/22,337,0,fake
12/4/22,338,0,fake
12/5/22,339,0,fake
12/6/22,340,0,fake
12/7/22,341,0,fake
12/8/22,342,0,fake
12/9/22,343,0,fake
12/10/22,344,0,fake
12/11/22,345,0,fake
12/12/22,346,0,fake
12/13/22,347,0,fake
12/14/22,348,0,fake
12/15/22,349,0,fake
12/16/22,350,0,fake
12/17/22,351,0,fake
12/18/22,352,0,fake
12/19/22,353,0,fake
12/20/22,354,0,fake
12/21/22,355,0,fake
12/22/22,356,0,fake
12/23/22,357,0,fake
12/24/22,358,0,fake
12/25/22,359,0,fake
12/26/22,360,0,fake
12/27/22,361,0,fake
12/28/22,362,0,fake
12/29/22,363,0,fake
12/30/22,364,0,fake
12/31/22,365,0,fake